# This index is really only here for historical reasons, now.
# As the resources we use evolve, these values will diverge ever further.
HYPERSPACE_MUSIC,38,0,sc2code/imusicre.h,MUSICRES,base/nav/hyper.mod
QUASISPACE_MUSIC,39,1,sc2code/imusicre.h,MUSICRES,base/nav/quasispace.mod
IP_MUSIC,159,2,sc2code/imusicre.h,MUSICRES,base/nav/space.mod
ORBIT1_MUSIC,160,3,sc2code/imusicre.h,MUSICRES,base/nav/orbit.mod
ORBIT2_MUSIC,160,4,sc2code/imusicre.h,MUSICRES,base/nav/orbit.mod
ORBIT3_MUSIC,160,5,sc2code/imusicre.h,MUSICRES,base/nav/orbit.mod
ORBIT4_MUSIC,160,6,sc2code/imusicre.h,MUSICRES,base/nav/orbit.mod
ORBIT5_MUSIC,160,7,sc2code/imusicre.h,MUSICRES,base/nav/orbit.mod
REDALERT_MUSIC,163,8,sc2code/imusicre.h,MUSICRES,base/ui/redalert.mod
OUTFIT_MUSIC,196,9,sc2code/imusicre.h,MUSICRES,base/ui/outfit.mod
SHIPYARD_MUSIC,198,10,sc2code/imusicre.h,MUSICRES,base/ui/shipyard.mod
STARBASE_MUSIC,199,11,sc2code/imusicre.h,MUSICRES,base/ui/starbase.mod
BATTLE_MUSIC,261,12,sc2code/imusicre.h,MUSICRES,base/battle/battle.mod
CREDITS_MUSIC,282,13,sc2code/imusicre.h,--,--
MELEE_MUSIC,161,14,sc2code/imusicre.h,--,--
MAINMENU_MUSIC,193,15,sc2code/imusicre.h,--,--
STARCON_FONT,28,0,sc2code/ifontres.h,FONTRES,base/fonts/starcon.fon
TINY_FONT,28,1,sc2code/ifontres.h,FONTRES,base/fonts/tiny.fon
MICRO_FONT,30,2,sc2code/ifontres.h,FONTRES,base/fonts/micro.fon
LANDER_FONT,138,3,sc2code/ifontres.h,FONTRES,base/fonts/lander.fon
PLAYER_FONT,189,4,sc2code/ifontres.h,FONTRES,base/fonts/player.fon
PT13AA_FONT,288,5,sc2code/ifontres.h,FONTRES,base/fonts/pt13.fon
PT17AA_FONT,288,6,sc2code/ifontres.h,FONTRES,base/fonts/pt17.fon
PT45AA_FONT,288,7,sc2code/ifontres.h,FONTRES,base/fonts/pt45.fon
STARCON_COLOR_MAP,1,0,sc2code/istrtab.h,BINTAB,base/scclrtab.ct
STARCON_GAME_STRINGS,28,1,sc2code/istrtab.h,STRTAB,base/gamestrings.txt
HYPER_COLOR_TAB,36,2,sc2code/istrtab.h,BINTAB,base/nav/hyperpal.ct
ARISPACE_COLOR_TAB,37,3,sc2code/istrtab.h,BINTAB,base/nav/quasispace.ct
ORBPLAN_COLOR_MAP,41,4,sc2code/istrtab.h,BINTAB,base/nav/orbplan.ct
OOLITE_COLOR_TAB,72,5,sc2code/istrtab.h,BINTAB,base/planets/str_cts_.ct
OOLITE_XLAT_TAB,72,6,sc2code/istrtab.h,BINTAB,base/planets/mtl2xlts.xlt
YTTRIC_COLOR_TAB,73,5,sc2code/istrtab.h,BINTAB,base/planets/wr1_cts_.ct
YTTRIC_XLAT_TAB,73,6,sc2code/istrtab.h,BINTAB,base/planets/rst_xlts.xlt
QUASI_DEGENERATE_COLOR_TAB,74,5,sc2code/istrtab.h,BINTAB,base/planets/co2_cts_.ct
QUASI_DEGENERATE_XLAT_TAB,74,6,sc2code/istrtab.h,BINTAB,base/planets/bnd_xlts.xlt
LANTHANIDE_COLOR_TAB,75,5,sc2code/istrtab.h,BINTAB,base/planets/ylgscts_.ct
LANTHANIDE_XLAT_TAB,75,6,sc2code/istrtab.h,BINTAB,base/planets/rst_xlts.xlt
TREASURE_COLOR_TAB,76,5,sc2code/istrtab.h,BINTAB,base/planets/lll_cts_.ct
TREASURE_XLAT_TAB,76,6,sc2code/istrtab.h,BINTAB,base/planets/bnd_xlts.xlt
UREA_COLOR_TAB,77,5,sc2code/istrtab.h,BINTAB,base/planets/ylgscts_.ct
UREA_XLAT_TAB,77,6,sc2code/istrtab.h,BINTAB,base/planets/den_xlts.xlt
METAL_COLOR_TAB,78,5,sc2code/istrtab.h,BINTAB,base/planets/mtl_cts_.ct
METAL_XLAT_TAB,78,6,sc2code/istrtab.h,BINTAB,base/planets/mtl1xlts.xlt
RADIOACTIVE_COLOR_TAB,79,5,sc2code/istrtab.h,BINTAB,base/planets/rrr_cts_.ct
RADIOACTIVE_XLAT_TAB,79,6,sc2code/istrtab.h,BINTAB,base/planets/rst_xlts.xlt
OPALESCENT_COLOR_TAB,80,5,sc2code/istrtab.h,BINTAB,base/planets/ice_cts_.ct
OPALESCENT_XLAT_TAB,80,6,sc2code/istrtab.h,BINTAB,base/planets/ice_xlts.xlt
